clothing_id,age,title,review_text,rating,recommended,feedback_count,division,department,class_name,full_text,label,true_label,pred_label,correct,error_category
869,40,,This is more of an undershirt than a shirt. the material is very very thin and it shows everything. it was beyond unflattering on me. don't buy this unless you have a knockout thin body.,1,0,1,General,Tops,Knits,This is more of an undershirt than a shirt. the material is very very thin and it shows everything. it was beyond unflattering on me. don't buy this unless you have a knockout thin body.,0,1,2,False,subtle_rating_difference
867,30,Not my cup of tee,It fits super baggy everywhere and looked sloppy on me.,1,0,0,General,Tops,Knits,Not my cup of tee [SEP] It fits super baggy everywhere and looked sloppy on me.,0,1,2,False,subtle_rating_difference
1072,57,Not what i expected,"Although i love retailer, this product isn't the quality or presentation i expect from them. the dress arrived stuffed into a small plastic bag and was a crumpled mess. the fabric wasn't soft and fluid as i expected, but rather was stiff and a little scratchy. i purchased the ecru version, which was also slightly darker than the photo showed. i returned the dress and will keep looking.",1,0,3,General,Dresses,Dresses,"Not what i expected [SEP] Although i love retailer, this product isn't the quality or presentation i expect from them. the dress arrived stuffed into a small plastic bag and was a crumpled mess. the fabric wasn't soft and fluid as i expected, but rather was stiff and a little scratchy. i purchased the ecru version, which was also slightly darker than the photo showed. i returned the dress and will keep looking.",0,1,2,False,subtle_rating_difference
835,28,Maternity top,"Extremely disappointed with this top. it runs extremely large. i'm 5'2, 130 lbs, 34c and usually wear between a 0-2 & xs-s tops at retailer. i ordered a 0 and it looked like a maternity top on me. the bottom half of the top flared out and did not fit close to the body at all. fabric was also a gauze-like material that was not soft. unfortunately, i will be returning.",1,0,4,General Petite,Tops,Blouses,"Maternity top [SEP] Extremely disappointed with this top. it runs extremely large. i'm 5'2, 130 lbs, 34c and usually wear between a 0-2 & xs-s tops at retailer. i ordered a 0 and it looked like a maternity top on me. the bottom half of the top flared out and did not fit close to the body at all. fabric was also a gauze-like material that was not soft. unfortunately, i will be returning.",0,1,2,False,subtle_rating_difference
1078,35,Cheaply made,"The cut and color of the dress is awesome. however, the biggest flaw is the zipper. i only got to wear this dress once until the zipper broke..sad day especially at the price. there also were a number of loose threads. i recommend waiting until it goes on sale. you'll want the extra money for a tailor to fix that zipper.",1,0,2,General Petite,Dresses,Dresses,"Cheaply made [SEP] The cut and color of the dress is awesome. however, the biggest flaw is the zipper. i only got to wear this dress once until the zipper broke..sad day especially at the price. there also were a number of loose threads. i recommend waiting until it goes on sale. you'll want the extra money for a tailor to fix that zipper.",0,1,2,False,subtle_rating_difference
870,40,,So unflattering! really disappointed. made me look 6 month pregnant and i'm a petite size 2.,1,0,0,General,Tops,Knits,So unflattering! really disappointed. made me look 6 month pregnant and i'm a petite size 2.,0,1,2,False,subtle_rating_difference
1079,46,Buttons broke before i even got it on!,"I'm so disappointed. the dress looked lovely in the box, but when i started to unbutton it to try it on, two buttons split in half! it's going right back.",1,0,0,General,Dresses,Dresses,"Buttons broke before i even got it on! [SEP] I'm so disappointed. the dress looked lovely in the box, but when i started to unbutton it to try it on, two buttons split in half! it's going right back.",0,1,2,False,subtle_rating_difference
641,35,,"I thought this dress would be a cute beach cover up so i was excited to order it but i was very disappointed. i am 5'7 and i usually wear a size small top and 4 dress so i ordered a small in this dress but it was huge!! i understand that it is not meant to be form fitting and i wasn't expecting it to be but when i tried this on i felt like i was wearing a potato sack. i feel like an extra small would have been just as bad. i was so upset. it also has thin silver lines through it which, for me, m",1,0,0,General Petite,Intimate,Lounge,"I thought this dress would be a cute beach cover up so i was excited to order it but i was very disappointed. i am 5'7 and i usually wear a size small top and 4 dress so i ordered a small in this dress but it was huge!! i understand that it is not meant to be form fitting and i wasn't expecting it to be but when i tried this on i felt like i was wearing a potato sack. i feel like an extra small would have been just as bad. i was so upset. it also has thin silver lines through it which, for me, m",0,1,2,False,subtle_rating_difference
824,85,,"This top is quite boxy and i was very disappointed with the color, it looked as if i'd washed it in filthy water. it's a very dingy white, needless to say it went back.",1,0,0,General Petite,Tops,Blouses,"This top is quite boxy and i was very disappointed with the color, it looked as if i'd washed it in filthy water. it's a very dingy white, needless to say it went back.",0,1,2,False,subtle_rating_difference
1008,44,Wonky,This skirt fits in a strange way. there is one pleated area but it is on the side so it is not flattering and i kept feeling as if i wanted to straighten the skirt.. the elastic looks frumpy. unflattering.,1,0,0,General Petite,Bottoms,Skirts,Wonky [SEP] This skirt fits in a strange way. there is one pleated area but it is on the side so it is not flattering and i kept feeling as if i wanted to straighten the skirt.. the elastic looks frumpy. unflattering.,0,1,2,False,subtle_rating_difference
